curator_name,curator_link
Completing the Backlog,https://store.steampowered.com/curator/5187103-Completing-the-Backlog/?snr=1_1050_curatorsreviewing_
Nucleus Coop,https://store.steampowered.com/curator/26348881-Nucleus-Coop/?snr=1_1050_curatorsreviewing_
My Little Pony: Friendship is Magic,https://store.steampowered.com/curator/1978066-My-Little-Pony-Friendship-is-Magic/?snr=1_1050_curatorsreviewing_
Gprimes,https://store.steampowered.com/curator/318488-Gprimes/?snr=1_1050_curatorsreviewing_
TroubleTribe,https://store.steampowered.com/curator/37040464-TroubleTribe/?snr=1_1050_curatorsreviewing_
Bearsonal,https://store.steampowered.com/curator/40523765-Bearsonal/?snr=1_1050_curatorsreviewing_
Adult Elite Gamers,https://store.steampowered.com/curator/5842689-Adult-Elite-Gamers/?snr=1_1050_curatorsreviewing_
iHasCupquake,https://store.steampowered.com/curator/7177125-iHasCupquake/?snr=1_1050_curatorsreviewing_
GetteGette,https://store.steampowered.com/curator/7821926-GetteGette/?snr=1_1050_curatorsreviewing_
Pop Culture Detective Agency,https://store.steampowered.com/curator/29424675-Pop-Culture-Detective-Agency/?snr=1_1050_curatorsreviewing_
Team Syukino,https://store.steampowered.com/curator/33017016-Team-Syukino/?snr=1_1050_curatorsreviewing_
Coop Wolfpack,https://store.steampowered.com/curator/34358741-Coop-Wolfpack/?snr=1_1050_curatorsreviewing_
Free CD Keys For You,https://store.steampowered.com/curator/28626607-Free-CD-Keys-For-You/?snr=1_1050_curatorsreviewing_
